name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
#fighters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hook,pmm_hook,,Pirate,,,200,20,150,,100,0,,325,400,300,150,300,10,OMNI,,90,0.2,1.2,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,100
Modified Pod,pmm_blasterdrone,,Pirate,,,500,100,1200,,0,0,,125,75,75,45,90,50,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,108
Reflective Beam Drone,pmm_beam_drone,,,,,10000000,0,100000,,100000,,,100,100,100,10000,10000,100,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restricted, no_sell",,0,,,,8
Swank,pmm_swank,,Pirate,plasmajets,,350,50,300,,60,0,,210,340,340,100,240,30,OMNI,,160,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,115
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebula Mk.II,pmm_nebula2,Modified Civilian Transport,Pirate,ammofeed,7,4000,225,4000,,250,85,,75,30,17,25,12,450,FRONT,,160,0.5,1,,,120,150,150,100,2,25,8,50000,4,20,240,0.25,8,8,,,,,,,,pirate_bp,,,2,3,,313
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Champion Mk.II,pmm_champion2,Heavy Cruiser,Pirate,microburn,30,10000,1100,12000,,700,112,,70,45,35,18,25,1500,FRONT,,210,0.4,0.8,,,200,300,150,150,4,38,8,125000,4,12,480,0.25,40,40,,,,,,,,"pirates, rare_bp",,,,,,
Colossus Mk.II,colossus2,Modified Freighter,Luddic Path,burndrive,9,6000,600,3250,3600,180,60,,50,25,10,12,12,1400,FRONT,,150,0.5,1,,,60,120,300,60,4,15,7,50000,3,20,480,0.25,9,9,,,,,,,ALWAYS_PANIC,"rare_bp, LP_bp",,0.6,2,3,,411.1
Colossus Mk.III,colossus3,Modified Freighter,Pirate,flarelauncher,9,6000,600,3250,3600,180,60,1,50,25,10,12,12,1400,FRONT,,150,0.5,1,,,80,160,300,60,4,15,7,50000,3,20,480,0.25,9,9,,,,,,,"CARRIER, COMBAT","pirates, rare_bp",,0.6,2,3,,411.2
Prometheus Mk.III,pmm_prometheus3,Modified Tanker,Pirate,ammofeed,20,15000,1200,12000,11250,450,240,,50,16,10,4,4,4000,OMNI,,180,0.5,1.2,,,250,300,200,800,10,80,7,200000,2,20,720,0.25,30,30,,,,,,,"CARRIER, COMBAT","pirates, rare_bp",,0.75,3,5,,506.5
Vigilance (P),pmm_vigilance_p,Frigate,Pirate,fastmissileracks,5,1750,200,2500,2250,180,45,,110,120,100,45,90,100,OMNI,,150,0.4,0.8,,,10,25,40,25,1,25,10,10000,8,10,240,0.25,5,5,,,,,,,"SHIP_WITH_MODULES, UNBOARDABLE, HIDE_IN_CODEX",restricted,,0.5,2,2,,208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#vri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauntlet (P),pmm_gauntlet_p,Heavy Combat Carrier,Pirate,microburn,16,6500,650,10000,12000,600,165,2,65,100,80,30,60,650,OMNI,,180,0.3,0.7,,,60,120,60,80,3,27,9,115000,4,12,420,0.25,30,30,,,,,,,,,,0.7,2,3,,415
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cavern (P),pmm_cavern_p,Converted Heavy Droneship,Pirate,plasmajets,18,10000,900,11000,11000,450,175,2,45,30,25,11,20,3000,FRONT,,180,0.4,0.8,,,400,600,300,90,3,30,8,165000,5,15,540,0.25,30,30,,,,,,,"CARRIER, COMBAT",,,0.7,2,3,,413
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savvaran (P),pmm_super_champion_p,Elite Heavy Cruiser,Pirate,pmm_raiderdrivesafe_crossmod,15,12000,1350,12000,11000,700,200,,80,55,45,25,20,1500,FRONT,,210,0.4,0.8,,,200,300,150,150,4,38,9,125000,4,12,480,0.25,30,30,,,,,,,,,,0.5,2,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#swp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Striker (P),pmm_striker_p,Light Destroyer,Pirate,maneuveringjets,8,4000,600,3500,3333,250,80,,100,80,55,40,70,350,FRONT,,210,0.4,1.2,,,30,70,60,60,2,30,9,26000,5,12,420,0.25,7,7,,,,,,,,,,0.5,2,3,,330
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#modules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pmm_armorplate1,Armor,,,1,5000,1500,0,2500,100,0,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,1,2,3,,2051
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#secret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pmm_fury_omega,Triquetra,Unknown,pmm_emp_omega,40,10000,1300,11000,25000,1200,180,,100,120,120,45,135,2000,OMNI,,150,0,0.5,,,0,0,40,150,3,50,11,500000,20,5,,,24,24,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","omega, no_autofit, restricted",,0.5,2,3,,416
,pmm_shrike_omega,Aeon,Unknown,pmm_omegawarp,20,4000,700,9000,5833,800,140,,150,160,160,60,180,400,OMNI,,150,0,0.5,,,0,0,20,100,2,50,11,220000,20,5,,,12,12,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","omega, no_autofit, restricted",,0.5,2,3,,320
,pmm_satus_shard,Satus Shard,Unknown,temporalshell,14,2500,600,5000,5000,500,60,,190,250,200,120,360,250,OMNI,,150,0,0.5,,,0,0,15,60,1,50,12,100000,20,5,,,7,7,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","omega, no_autofit, restricted",,0.5,2,2,,229
,pmm_tempest_omega,Percept Shard,Unknown,pmm_minkowskispace,14,2300,500,5000,5000,500,60,,200,250,200,120,360,230,OMNI,,150,0,0.5,,,0,0,15,60,1,50,12,100000,20,5,,,7,7,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","omega, no_autofit, restricted",,0.5,2,2,,229
,pmm_legacy,Legacy,Unknown,,,800,350,1500,,200,0,,250,250,250,120,360,50,OMNI,,150,0,0.5,,,0,0,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,,119
Master,pmm_derelict_master,Droneship,Explorarium,pmm_synthdash,14,5500,800,3000,3750,1000,100,,100,80,50,40,50,500,NONE,,0,0.4,0.8,,,0,0,80,60,2,30,10,50000,5,15,420,0.25,25,25,,,,,,,"SHIP_WITH_MODULES, UNBOARDABLE, HIDE_IN_CODEX",derelict,,0.5,2,3,,317
Defense Module,pmm_derelict_master_cover,Defense Module,,,0,2000,100,12000,3750,1000,0,,100,80,50,40,50,500,FRONT,,360,0.4,0.5,,,0,0,0,0,2,30,10,50000,5,15,420,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, module_unselectable, module_refit_bright, always_detaches",,1,2,3,,317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#bosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fonsi,pmm_derelict_fonsi,Droneship,,,24,8000,600,5000,3750,700,40,1,100,80,50,40,50,500,FRONT,,360,0.4,0.6,,,0,0,80,60,2,30,10,50000,5,15,420,0.25,25,25,,,,,,,HIDE_IN_CODEX,restricted,,1,2,3,,318
Fonsi Traget Drone,pmm_derelict_fonsi_target_drone,,Pirate,,,200,20,500,,100,0,0,325,400,300,150,300,10,OMNI,,90,0.2,1,,,2,2,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,restricted,,0,,,,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reflective Beam Drone,pmm_dot_drone,,,,,10000000,0,100000,,100000,,,100,100,100,10000,10000,100,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restricted, no_sell",,0,,,,8
